City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
401,Bagdarin,54.43,113.6,66.2,43,35,4.79,RU,scattered clouds,0.0,0,2020-06-21 02:16:51
402,Saint-Pierre,-21.34,55.48,68.0,72,90,8.05,RE,overcast clouds,0.0,0,2020-06-21 02:16:51
403,Lakes Entrance,-37.88,147.98,57.99,68,3,1.01,AU,clear sky,0.0,0,2020-06-21 02:16:51
404,Teya,60.38,92.63,44.42,86,100,4.36,RU,light rain,0.6,0,2020-06-21 02:16:51
405,Sakata,38.92,139.85,69.8,60,40,8.05,JP,scattered clouds,0.0,0,2020-06-21 02:16:52
406,Longyearbyen,78.22,15.64,37.4,86,75,13.87,SJ,broken clouds,0.0,0,2020-06-21 02:16:40
407,Jalu,29.03,21.55,76.8,48,0,11.1,LY,clear sky,0.0,0,2020-06-21 02:16:53
408,Pachperwa,27.52,82.65,78.78,83,100,3.85,IN,light rain,0.14,0,2020-06-21 02:16:53
409,Agua Branca,-5.89,-42.64,75.9,61,12,6.02,BR,few clouds,0.0,0,2020-06-21 02:16:54
410,Kahului,20.89,-156.47,89.6,43,40,21.92,US,scattered clouds,0.0,0,2020-06-21 02:16:54
411,Sulangan,11.14,123.72,84.4,74,93,7.99,PH,light rain,0.19,0,2020-06-21 02:16:54
412,Fort Nelson,58.81,-122.7,77.0,44,75,5.82,CA,broken clouds,0.0,0,2020-06-21 02:16:08
413,Arcata,40.87,-124.08,66.0,87,1,8.05,US,clear sky,0.0,0,2020-06-21 02:16:55
414,Bushehr,28.97,50.84,86.0,55,0,4.7,IR,clear sky,0.0,0,2020-06-21 02:16:55
415,Mogadishu,2.04,45.34,78.17,82,1,19.71,SO,clear sky,0.0,0,2020-06-21 02:16:55
416,Kalabo,-14.97,22.68,47.44,57,0,5.26,ZM,clear sky,0.0,0,2020-06-21 02:16:55
417,Kantunilkin,21.09,-87.45,82.4,78,20,5.82,MX,few clouds,0.0,0,2020-06-21 02:16:56
418,Khandyga,62.67,135.6,76.82,41,22,3.11,RU,few clouds,0.0,0,2020-06-21 02:16:56
419,Vallenar,-28.57,-70.76,62.49,49,0,1.92,CL,clear sky,0.0,0,2020-06-21 02:16:56
